date,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,anomaly
2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,187,-1
2011-01-08,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,95,-1
2011-01-08,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,74,-1
2011-01-08,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,76,-1
2011-01-08,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,69,-1
2011-01-08,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,22,-1
2011-01-09,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,12,-1
2011-01-09,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,11,-1
2011-01-09,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,4,-1
2011-01-09,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,19,-1
2011-01-09,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,49,-1
2011-01-11,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0.0,51,-1
2011-01-12,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,55,-1
2011-01-12,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,137,-1
2011-01-21,1,0,1,12,0,5,1,1,0.22,0.1818,0.27,0.5821,78,-1
2011-01-21,1,0,1,13,0,5,1,1,0.2,0.1515,0.21,0.5821,73,-1
2011-01-21,1,0,1,14,0,5,1,1,0.2,0.1515,0.25,0.5224,62,-1
2011-01-21,1,0,1,15,0,5,1,1,0.16,0.1212,0.26,0.4478,65,-1
2011-01-21,1,0,1,16,0,5,1,1,0.16,0.1364,0.26,0.3582,97,-1
2011-01-21,1,0,1,17,0,5,1,1,0.14,0.1212,0.28,0.3582,161,-1
2011-01-21,1,0,1,19,0,5,1,1,0.12,0.1061,0.3,0.3284,96,-1
2011-01-21,1,0,1,20,0,5,1,1,0.1,0.0758,0.33,0.4179,53,-1
2011-01-21,1,0,1,22,0,5,1,1,0.06,0.0303,0.41,0.3881,34,-1
2011-01-22,1,0,1,1,0,6,0,2,0.04,0.0,0.41,0.3881,12,-1
2011-01-22,1,0,1,13,0,6,0,1,0.08,0.1667,0.35,0.0,84,-1
2011-01-22,1,0,1,15,0,6,0,1,0.12,0.1515,0.28,0.0,103,-1
2011-01-22,1,0,1,17,0,6,0,1,0.12,0.197,0.28,0.0,67,-1
2011-01-22,1,0,1,22,0,6,0,1,0.06,0.1515,0.49,0.0,30,-1
2011-01-23,1,0,1,12,0,0,0,1,0.16,0.1212,0.37,0.4627,116,-1
2011-01-23,1,0,1,17,0,0,0,1,0.14,0.1061,0.26,0.3881,55,-1
2011-01-24,1,0,1,7,0,1,1,1,0.02,0.1212,0.48,0.0,84,-1
2011-01-24,1,0,1,8,0,1,1,1,0.04,0.1364,0.49,0.0,177,-1
2011-01-24,1,0,1,9,0,1,1,1,0.06,0.1515,0.41,0.0,102,-1
2011-01-24,1,0,1,10,0,1,1,1,0.1,0.1364,0.42,0.0,40,-1
2011-01-26,1,0,1,15,0,3,1,3,0.22,0.1818,0.93,0.4627,43,-1
2011-01-30,1,0,1,3,0,0,0,1,0.14,0.2121,0.93,0.0,8,-1
2011-01-30,1,0,1,4,0,0,0,1,0.14,0.2121,0.93,0.0,1,-1
2011-02-01,1,0,2,5,0,2,1,3,0.14,0.2121,0.93,0.0,3,-1
2011-02-01,1,0,2,6,0,2,1,3,0.14,0.2121,0.93,0.0,22,-1
2011-02-01,1,0,2,7,0,2,1,3,0.16,0.2273,0.93,0.0,52,-1
2011-02-01,1,0,2,8,0,2,1,3,0.16,0.2273,0.93,0.0,135,-1
2011-02-01,1,0,2,9,0,2,1,2,0.16,0.2273,0.93,0.0,116,-1
2011-02-01,1,0,2,10,0,2,1,2,0.16,0.2273,0.93,0.0,47,-1
2011-02-02,1,0,2,10,0,3,1,2,0.22,0.2727,1.0,0.0,61,-1
2011-02-02,1,0,2,18,0,3,1,1,0.34,0.2879,0.42,0.5522,182,-1
2011-02-02,1,0,2,20,0,3,1,1,0.24,0.197,0.48,0.5522,75,-1
2011-02-03,1,0,2,1,0,4,1,1,0.2,0.1515,0.44,0.5224,5,-1
2011-02-05,1,0,2,6,0,6,0,3,0.2,0.2576,1.0,0.0,4,-1
2011-02-05,1,0,2,14,0,6,0,3,0.22,0.2727,1.0,0.0,55,-1
2011-02-05,1,0,2,15,0,6,0,3,0.22,0.2727,1.0,0.0,60,-1
2011-02-05,1,0,2,17,0,6,0,2,0.24,0.2121,1.0,0.2836,78,-1
2011-02-05,1,0,2,18,0,6,0,2,0.28,0.2424,0.93,0.4478,83,-1
2011-02-05,1,0,2,19,0,6,0,2,0.28,0.2424,0.93,0.4478,84,-1
2011-02-07,1,0,2,8,0,1,1,2,0.16,0.2273,1.0,0.0,230,-1
2011-02-08,1,0,2,8,0,2,1,1,0.24,0.197,0.56,0.4925,243,-1
2011-02-08,1,0,2,10,0,2,1,1,0.22,0.1818,0.47,0.5522,48,-1
2011-02-08,1,0,2,16,0,2,1,1,0.22,0.1818,0.35,0.5224,83,-1
2011-02-08,1,0,2,17,0,2,1,1,0.22,0.1818,0.32,0.5821,176,-1
2011-02-08,1,0,2,19,0,2,1,1,0.16,0.1212,0.4,0.4627,101,-1
2011-02-08,1,0,2,21,0,2,1,1,0.14,0.1061,0.33,0.4627,54,-1
2011-02-09,1,0,2,6,0,3,1,1,0.06,0.1515,0.45,0.0,43,-1
2011-02-09,1,0,2,8,0,3,1,1,0.1,0.1364,0.42,0.0,199,-1
2011-02-09,1,0,2,10,0,3,1,1,0.14,0.1818,0.36,0.0,59,-1
2011-02-10,1,0,2,7,0,4,1,1,0.1,0.0758,0.5,0.4179,99,-1
2011-02-10,1,0,2,21,0,4,1,1,0.14,0.2121,0.39,0.0,72,-1
2011-02-10,1,0,2,22,0,4,1,1,0.12,0.197,0.39,0.0,51,-1
2011-02-11,1,0,2,17,0,5,1,1,0.3,0.3333,0.24,0.0,211,-1
2011-02-12,1,0,2,17,0,6,0,1,0.32,0.2879,0.31,0.5224,137,-1
2011-02-14,1,0,2,12,0,1,1,1,0.56,0.5303,0.22,0.4478,126,-1
2011-02-14,1,0,2,13,0,1,1,1,0.58,0.5455,0.19,0.3881,120,-1
2011-02-14,1,0,2,14,0,1,1,1,0.6,0.5909,0.15,0.4925,90,-1
2011-02-14,1,0,2,15,0,1,1,1,0.56,0.5303,0.21,0.6567,90,-1
2011-02-14,1,0,2,17,0,1,1,1,0.46,0.4545,0.33,0.6119,243,-1
2011-02-14,1,0,2,18,0,1,1,1,0.4,0.4091,0.4,0.6119,205,-1
2011-02-14,1,0,2,22,0,1,1,1,0.34,0.2879,0.46,0.6567,45,-1
2011-02-15,1,0,2,1,0,2,1,1,0.3,0.2424,0.42,0.7761,5,-1
2011-02-15,1,0,2,2,0,2,1,1,0.28,0.2273,0.41,0.6866,3,-1
2011-02-15,1,0,2,4,0,2,1,1,0.22,0.1818,0.37,0.5224,1,-1
2011-02-15,1,0,2,5,0,2,1,1,0.22,0.1818,0.32,0.4627,4,-1
2011-02-18,1,0,2,19,0,5,1,1,0.62,0.6212,0.29,0.5821,162,-1
2011-02-18,1,0,2,21,0,5,1,1,0.58,0.5455,0.21,0.4925,72,-1
2011-02-19,1,0,2,0,0,6,0,1,0.48,0.4697,0.12,0.4925,29,-1
2011-02-19,1,0,2,1,0,6,0,1,0.46,0.4545,0.14,0.4179,31,-1
2011-02-19,1,0,2,2,0,6,0,1,0.44,0.4394,0.13,0.3881,17,-1
2011-02-19,1,0,2,4,0,6,0,1,0.4,0.4091,0.15,0.3284,3,-1
2011-02-19,1,0,2,5,0,6,0,1,0.4,0.4091,0.15,0.3284,3,-1
2011-02-19,1,0,2,6,0,6,0,1,0.4,0.4091,0.17,0.4179,6,-1
2011-02-19,1,0,2,7,0,6,0,1,0.38,0.3939,0.17,0.5224,22,-1
2011-02-19,1,0,2,8,0,6,0,1,0.38,0.3939,0.17,0.5821,45,-1
2011-02-19,1,0,2,9,0,6,0,1,0.4,0.4091,0.16,0.6567,55,-1
2011-02-19,1,0,2,10,0,6,0,1,0.42,0.4242,0.16,0.5821,106,-1
2011-02-19,1,0,2,11,0,6,0,1,0.44,0.4394,0.16,0.5821,123,-1
2011-02-19,1,0,2,12,0,6,0,1,0.44,0.4394,0.18,0.4925,119,-1
2011-02-19,1,0,2,13,0,6,0,1,0.44,0.4394,0.16,0.6119,155,-1
2011-02-19,1,0,2,14,0,6,0,1,0.46,0.4545,0.15,0.6567,196,-1
2011-02-19,1,0,2,15,0,6,0,1,0.44,0.4394,0.16,0.7463,171,-1
2011-02-19,1,0,2,16,0,6,0,1,0.44,0.4394,0.16,0.6418,120,-1
2011-02-19,1,0,2,17,0,6,0,1,0.42,0.4242,0.19,0.6119,127,-1
2011-02-19,1,0,2,20,0,6,0,1,0.32,0.2879,0.28,0.5224,47,-1
2011-02-19,1,0,2,21,0,6,0,1,0.32,0.2727,0.26,0.5522,33,-1
2011-02-20,1,0,2,2,0,0,0,1,0.24,0.197,0.41,0.5522,17,-1
2011-02-20,1,0,2,3,0,0,0,1,0.22,0.1818,0.44,0.5522,18,-1
2011-02-20,1,0,2,4,0,0,0,1,0.22,0.1818,0.44,0.5522,1,-1
2011-02-25,1,0,2,2,0,5,1,2,0.32,0.3485,1.0,0.0,3,-1
2011-02-25,1,0,2,14,0,5,1,3,0.56,0.5303,0.56,0.6119,85,-1
2011-02-25,1,0,2,15,0,5,1,1,0.46,0.4545,0.41,0.806,55,-1
2011-02-25,1,0,2,17,0,5,1,1,0.32,0.2727,0.49,0.7463,189,-1
2011-02-25,1,0,2,20,0,5,1,1,0.3,0.2576,0.49,0.6119,62,-1
2011-02-28,1,0,2,19,0,1,1,3,0.44,0.4394,0.88,0.6119,80,-1
2011-02-28,1,0,2,20,0,1,1,3,0.44,0.4394,0.88,0.6119,45,-1
2011-03-02,2,0,3,15,0,3,1,1,0.54,0.5152,0.19,0.4179,110,-1
2011-03-02,2,0,3,18,0,3,1,1,0.46,0.4545,0.23,0.4925,201,-1
2011-03-02,2,0,3,22,0,3,1,1,0.3,0.2576,0.26,0.5522,48,-1
2011-03-02,2,0,3,23,0,3,1,1,0.26,0.2121,0.3,0.5224,22,-1
2011-03-03,2,0,3,0,0,4,1,1,0.24,0.197,0.3,0.4627,13,-1
2011-03-03,2,0,3,1,0,4,1,1,0.24,0.197,0.3,0.4627,1,-1
2011-03-03,2,0,3,2,0,4,1,1,0.2,0.1667,0.27,0.4627,3,-1
2011-03-03,2,0,3,3,0,4,1,1,0.2,0.1667,0.27,0.4627,1,-1
2011-03-03,2,0,3,4,0,4,1,1,0.16,0.1212,0.31,0.4925,1,-1
2011-03-03,2,0,3,7,0,4,1,1,0.12,0.0909,0.42,0.4179,111,-1
2011-03-03,2,0,3,15,0,4,1,1,0.24,0.2879,0.23,0.0,68,-1
2011-03-03,2,0,3,16,0,4,1,1,0.26,0.303,0.23,0.0,71,-1
2011-03-03,2,0,3,17,0,4,1,1,0.26,0.303,0.22,0.0,202,-1
2011-03-06,2,0,3,7,0,0,0,3,0.42,0.4242,1.0,0.4478,5,-1
2011-03-06,2,0,3,18,0,0,0,3,0.32,0.2879,1.0,0.3582,23,-1
2011-03-06,2,0,3,19,0,0,0,3,0.3,0.2576,1.0,0.4925,11,-1
2011-03-06,2,0,3,20,0,0,0,3,0.28,0.2424,1.0,0.4179,11,-1
2011-03-06,2,0,3,21,0,0,0,3,0.24,0.1818,0.93,0.6119,7,-1
2011-03-06,2,0,3,22,0,0,0,2,0.22,0.197,1.0,0.3881,10,-1
2011-03-06,2,0,3,23,0,0,0,2,0.22,0.197,1.0,0.4179,9,-1
2011-03-07,2,0,3,0,0,1,1,3,0.2,0.1818,1.0,0.3284,4,-1
2011-03-07,2,0,3,1,0,1,1,3,0.2,0.1818,1.0,0.3284,2,-1
2011-03-07,2,0,3,3,0,1,1,1,0.2,0.1515,0.8,0.5821,1,-1
2011-03-07,2,0,3,4,0,1,1,1,0.2,0.1515,0.8,0.5224,1,-1
2011-03-08,2,0,3,12,0,2,1,2,0.36,0.3788,0.23,0.0,99,-1
2011-03-08,2,0,3,14,0,2,1,2,0.38,0.3939,0.2,0.0,72,-1
2011-03-08,2,0,3,15,0,2,1,2,0.36,0.3788,0.18,0.0,112,-1
2011-03-10,2,0,3,0,0,4,1,3,0.34,0.3182,0.0,0.2537,3,-1
2011-03-10,2,0,3,1,0,4,1,3,0.34,0.3182,0.0,0.2537,2,-1
2011-03-10,2,0,3,2,0,4,1,3,0.34,0.3182,0.0,0.2537,1,-1
2011-03-10,2,0,3,5,0,4,1,3,0.36,0.3485,0.0,0.194,3,-1
2011-03-10,2,0,3,6,0,4,1,3,0.36,0.3333,0.0,0.3284,12,-1
2011-03-10,2,0,3,11,0,4,1,3,0.4,0.4091,0.0,0.2537,11,-1
2011-03-10,2,0,3,14,0,4,1,3,0.44,0.4394,0.0,0.2985,12,-1
2011-03-10,2,0,3,17,0,4,1,2,0.44,0.4394,0.0,0.3881,111,-1
2011-03-10,2,0,3,18,0,4,1,3,0.44,0.4394,0.0,0.3582,82,-1
2011-03-10,2,0,3,19,0,4,1,3,0.44,0.4394,0.0,0.5821,56,-1
2011-03-10,2,0,3,20,0,4,1,3,0.36,0.3333,0.0,0.3284,38,-1
2011-03-23,2,0,3,20,0,3,1,3,0.36,0.303,0.87,0.6418,75,-1
2011-03-23,2,0,3,21,0,3,1,3,0.32,0.2879,1.0,0.4179,22,-1
2011-03-24,2,0,3,8,0,4,1,3,0.26,0.2273,1.0,0.2985,124,-1
2011-03-28,2,0,3,12,0,1,1,2,0.26,0.2727,0.25,0.0,79,-1
2011-03-31,2,0,3,8,0,4,1,2,0.24,0.2273,1.0,0.2537,192,-1
2011-04-04,2,0,4,14,0,1,1,2,0.74,0.6515,0.27,0.4925,123,-1
2011-04-04,2,0,4,15,0,1,1,1,0.76,0.6667,0.23,0.5522,143,-1
2011-04-04,2,0,4,16,0,1,1,1,0.76,0.6515,0.22,0.5224,189,-1
2011-04-04,2,0,4,17,0,1,1,1,0.74,0.6515,0.23,0.6119,366,-1
2011-04-04,2,0,4,18,0,1,1,2,0.72,0.6364,0.23,0.4925,386,-1
2011-04-04,2,0,4,19,0,1,1,1,0.7,0.6364,0.24,0.4627,278,-1
2011-04-04,2,0,4,20,0,1,1,2,0.7,0.6364,0.24,0.5522,173,-1
2011-04-04,2,0,4,21,0,1,1,2,0.7,0.6364,0.3,0.4478,95,-1
2011-04-05,2,0,4,4,0,2,1,3,0.5,0.4848,0.88,0.4925,2,-1
2011-04-05,2,0,4,8,0,2,1,3,0.38,0.3939,0.87,0.5821,157,-1
2011-04-11,2,0,4,17,0,1,1,1,0.74,0.6667,0.48,0.5224,452,-1
2011-04-12,2,0,4,9,0,2,1,3,0.46,0.4545,0.94,0.4925,54,-1
2011-04-12,2,0,4,15,0,2,1,2,0.48,0.4697,0.77,0.5224,78,-1
2011-04-14,2,0,4,17,0,4,1,1,0.6,0.6061,0.28,0.0,388,-1
2011-04-16,2,0,4,12,0,6,0,2,0.46,0.4545,0.88,0.5821,32,-1
2011-04-16,2,0,4,13,0,6,0,3,0.46,0.4545,0.94,0.5224,58,-1
2011-04-16,2,0,4,14,0,6,0,3,0.52,0.5,0.83,0.5821,63,-1
2011-04-16,2,0,4,15,0,6,0,3,0.52,0.5,0.83,0.5821,78,-1
2011-04-16,2,0,4,17,0,6,0,3,0.5,0.4848,0.88,0.5821,15,-1
2011-04-17,2,0,4,15,0,0,0,1,0.54,0.5152,0.32,0.5224,388,-1
2011-04-21,2,0,4,5,0,4,1,2,0.42,0.4242,0.54,0.5522,14,-1
2011-04-21,2,0,4,6,0,4,1,2,0.4,0.4091,0.58,0.5821,75,-1
2011-04-25,2,0,4,0,0,1,1,3,0.52,0.5,1.0,0.0,12,-1
2011-04-25,2,0,4,4,0,1,1,2,0.52,0.5,1.0,0.0,5,-1
2011-04-25,2,0,4,6,0,1,1,2,0.5,0.4848,1.0,0.0,66,-1
2011-04-26,2,0,4,18,0,2,1,1,0.68,0.6364,0.65,0.4478,528,-1
2011-04-28,2,0,4,8,0,4,1,2,0.66,0.6061,0.78,0.4478,398,-1
2011-05-03,2,0,5,13,0,2,1,2,0.7,0.6515,0.58,0.6119,194,-1
2011-05-03,2,0,5,17,0,2,1,1,0.7,0.6515,0.54,0.4627,517,-1
2011-05-03,2,0,5,18,0,2,1,1,0.7,0.6515,0.48,0.4179,544,-1
2011-05-04,2,0,5,3,0,3,1,3,0.42,0.4242,0.88,0.5224,1,-1
2011-05-05,2,0,5,13,0,4,1,1,0.54,0.5152,0.3,0.5821,192,-1
2011-05-05,2,0,5,15,0,4,1,1,0.56,0.5303,0.26,0.4925,147,-1
2011-05-05,2,0,5,17,0,4,1,1,0.56,0.5303,0.26,0.3881,533,-1
2011-05-10,2,0,5,17,0,2,1,1,0.64,0.6212,0.33,0.0,611,-1
2011-05-15,2,0,5,0,0,0,0,2,0.52,0.5,1.0,0.0,39,-1
2011-05-15,2,0,5,3,0,0,0,2,0.52,0.5,1.0,0.0,32,-1
2011-05-15,2,0,5,4,0,0,0,2,0.52,0.5,1.0,0.0,13,-1
2011-05-17,2,0,5,17,0,2,1,1,0.62,0.6061,0.65,0.4179,604,-1
2011-05-19,2,0,5,7,0,4,1,2,0.5,0.4848,1.0,0.0,257,-1
2011-05-20,2,0,5,17,0,5,1,1,0.62,0.6212,0.53,0.0,554,-1
2011-05-23,2,0,5,6,0,1,1,2,0.54,0.5152,1.0,0.0,96,-1
2011-05-23,2,0,5,14,0,1,1,2,0.72,0.6818,0.62,0.5224,187,-1
2011-05-30,2,0,5,14,1,1,0,1,0.88,0.803,0.39,0.0,327,-1
2011-05-31,2,0,5,11,0,2,1,1,0.86,0.803,0.47,0.0,106,-1
2011-05-31,2,0,5,14,0,2,1,1,0.9,0.8182,0.37,0.0,140,-1
2011-06-02,3,0,6,10,0,4,1,1,0.72,0.6515,0.28,0.4925,139,-1
2011-06-02,3,0,6,12,0,4,1,1,0.76,0.6667,0.25,0.4627,232,-1
2011-06-02,3,0,6,13,0,4,1,1,0.8,0.6818,0.24,0.3582,203,-1
2011-06-02,3,0,6,15,0,4,1,1,0.8,0.6818,0.21,0.3881,188,-1
2011-06-02,3,0,6,16,0,4,1,1,0.8,0.6818,0.22,0.4925,318,-1
2011-06-02,3,0,6,17,0,4,1,1,0.76,0.6515,0.2,0.5224,572,-1
2011-06-02,3,0,6,18,0,4,1,1,0.74,0.6515,0.22,0.3881,525,-1
2011-06-04,3,0,6,15,0,6,0,2,0.74,0.6515,0.27,0.4179,404,-1
2011-06-08,3,0,6,13,0,3,1,1,0.9,0.8485,0.42,0.0,136,-1
2011-06-08,3,0,6,17,0,3,1,1,0.92,0.8485,0.35,0.2239,506,-1
2011-06-09,3,0,6,15,0,4,1,1,0.94,0.8333,0.31,0.1642,104,-1
2011-06-10,3,0,6,14,0,5,1,1,0.86,0.7727,0.39,0.0,165,-1
2011-06-12,3,0,6,12,0,0,0,1,0.82,0.7576,0.46,0.0,420,-1
2011-06-15,3,0,6,15,0,3,1,1,0.76,0.6667,0.27,0.0,164,-1
2011-06-15,3,0,6,17,0,3,1,1,0.74,0.6515,0.28,0.1045,638,-1
2011-06-17,3,0,6,5,0,5,1,1,0.54,0.5152,1.0,0.0,13,-1
2011-06-20,3,0,6,17,0,1,1,1,0.7,0.6515,0.54,0.0,565,-1
2011-06-23,3,0,6,18,0,4,1,1,0.72,0.6818,0.7,0.4179,540,-1
2011-06-27,3,0,6,18,0,1,1,1,0.74,0.6667,0.51,0.0,591,-1
2011-06-28,3,0,6,15,0,2,1,1,0.86,0.7879,0.41,0.0,166,-1
2011-06-29,3,0,6,16,0,3,1,1,0.82,0.7121,0.3,0.4179,328,-1
2011-06-29,3,0,6,17,0,3,1,1,0.82,0.7121,0.26,0.4179,570,-1
2011-06-29,3,0,6,18,0,3,1,1,0.8,0.697,0.29,0.2985,588,-1
2011-06-30,3,0,6,17,0,4,1,1,0.78,0.6818,0.27,0.3582,594,-1
2011-07-01,3,0,7,11,0,5,1,1,0.8,0.697,0.26,0.0,214,-1
2011-07-01,3,0,7,12,0,5,1,1,0.8,0.697,0.26,0.0,263,-1
2011-07-01,3,0,7,13,0,5,1,1,0.8,0.6818,0.24,0.0,292,-1
2011-07-01,3,0,7,16,0,5,1,1,0.82,0.697,0.17,0.0,427,-1
2011-07-01,3,0,7,17,0,5,1,1,0.82,0.697,0.21,0.194,461,-1
2011-07-02,3,0,7,14,0,6,0,1,0.84,0.7121,0.2,0.0,392,-1
2011-07-02,3,0,7,15,0,6,0,1,0.86,0.7273,0.19,0.1642,331,-1
2011-07-02,3,0,7,16,0,6,0,1,0.88,0.7424,0.22,0.2239,398,-1
2011-07-03,3,0,7,17,0,0,0,3,0.8,0.7424,0.49,0.8507,358,-1
2011-07-03,3,0,7,18,0,0,0,3,0.8,0.7424,0.49,0.8507,181,-1
2011-07-04,3,0,7,12,1,1,0,2,0.78,0.7121,0.52,0.0,447,-1
2011-07-04,3,0,7,14,1,1,0,1,0.8,0.7273,0.46,0.0,408,-1
2011-07-04,3,0,7,16,1,1,0,1,0.82,0.7424,0.41,0.0,452,-1
2011-07-04,3,0,7,17,1,1,0,1,0.8,0.7273,0.46,0.0,436,-1
2011-07-07,3,0,7,13,0,4,1,1,0.86,0.7879,0.41,0.0,155,-1
2011-07-08,3,0,7,17,0,5,1,3,0.66,0.5909,0.89,0.4478,167,-1
2011-07-09,3,0,7,16,0,6,0,1,0.82,0.7273,0.38,0.0,416,-1
2011-07-09,3,0,7,17,0,6,0,1,0.84,0.7273,0.32,0.0,401,-1
2011-07-11,3,0,7,17,0,1,1,1,0.86,0.8485,0.56,0.4179,514,-1
2011-07-13,3,0,7,17,0,3,1,1,0.7,0.6667,0.79,0.0,488,-1
2011-07-19,3,0,7,17,0,2,1,1,0.8,0.803,0.66,0.0,513,-1
2011-07-20,3,0,7,8,0,3,1,1,0.74,0.7121,0.74,0.0,438,-1
2011-07-22,3,0,7,1,0,5,1,1,0.8,0.7879,0.63,0.0,24,-1
2011-07-23,3,0,7,14,0,6,0,1,0.92,0.8939,0.42,0.0,236,-1
2011-07-23,3,0,7,15,0,6,0,1,0.94,0.8788,0.38,0.0,215,-1
2011-07-26,3,0,7,11,0,2,1,1,0.82,0.7121,0.3,0.0,151,-1
2011-07-26,3,0,7,12,0,2,1,1,0.84,0.7273,0.28,0.0,147,-1
2011-07-26,3,0,7,17,0,2,1,1,0.86,0.7576,0.36,0.3582,537,-1
2011-07-26,3,0,7,18,0,2,1,1,0.84,0.7424,0.39,0.3881,546,-1
2011-07-27,3,0,7,11,0,3,1,1,0.8,0.697,0.31,0.0,136,-1
2011-07-27,3,0,7,17,0,3,1,1,0.84,0.7121,0.26,0.2239,572,-1
2011-07-27,3,0,7,18,0,3,1,1,0.82,0.7121,0.28,0.1045,541,-1
2011-07-29,3,0,7,13,0,5,1,1,0.94,0.8333,0.31,0.0,156,-1
2011-07-29,3,0,7,16,0,5,1,1,0.96,0.8636,0.3,0.3881,233,-1
2011-07-29,3,0,7,17,0,5,1,1,0.96,0.8636,0.3,0.2985,421,-1
2011-07-30,3,0,7,13,0,6,0,1,0.88,0.7576,0.29,0.0,308,-1
2011-07-30,3,0,7,14,0,6,0,1,0.9,0.7879,0.29,0.0,305,-1
2011-07-30,3,0,7,17,0,6,0,1,0.9,0.7879,0.29,0.1045,302,-1
2011-07-31,3,0,7,12,0,0,0,1,0.9,0.7727,0.25,0.194,338,-1
2011-07-31,3,0,7,13,0,0,0,1,0.9,0.7727,0.24,0.1343,294,-1
